日期,地区,城市,品类,渠道,销售额,销量,利润
2024-10-05,华南,深圳,食品生鲜,线下,250,7,35
2024-10-12,东北,沈阳,食品生鲜,线下,230,7,23
2024-10-09,华南,海口,手机数码,线下,3230,7,628
2024-10-17,西南,昆明,服饰鞋包,线下,1290,1,434
2024-10-15,东北,沈阳,手机数码,线下,3570,4,629
2024-10-14,西北,西安,手机数码,线下,2280,9,276
2024-10-04,东北,沈阳,电脑办公,线下,2970,8,654
2024-10-23,华东,南京,服饰鞋包,线下,520,8,193
2024-10-20,华南,厦门,食品生鲜,线下,170,5,18
2024-10-10,华东,上海,服饰鞋包,线上,590,3,223
2024-10-20,华中,郑州,电脑办公,线上,2510,6,568
2024-10-25,华南,深圳,食品生鲜,线下,160,4,21
2024-10-07,华中,长沙,美妆个护,线上,500,1,136
2024-10-01,西南,重庆,家用电器,线下,2620,4,646
2024-10-16,华北,天津,服饰鞋包,线下,930,7,342
2024-10-21,西南,昆明,美妆个护,线下,790,7,269
2024-10-17,东北,沈阳,电脑办公,线上,4350,5,774
2024-10-06,华南,深圳,食品生鲜,线下,300,6,34
2024-10-08,西南,成都,美妆个护,线下,800,1,209
2024-10-09,华东,上海,美妆个护,线下,850,7,367
2024-10-03,西南,昆明,电脑办公,线下,2400,5,456
2024-10-03,华南,海口,食品生鲜,线上,150,3,16
2024-10-05,东北,大连,食品生鲜,线下,270,5,36
2024-10-10,华南,海口,服饰鞋包,线下,580,3,143
2024-10-15,华北,北京,服饰鞋包,线上,720,8,233
2024-10-15,东北,哈尔滨,手机数码,线下,5080,7,708
2024-10-03,华东,苏州,食品生鲜,线下,280,5,47
2024-10-27,东北,沈阳,食品生鲜,线上,250,7,42
2024-10-08,华东,杭州,食品生鲜,线上,260,3,42
2024-10-02,华中,南昌,服饰鞋包,线上,890,2,257
2024-10-21,西北,兰州,手机数码,线下,2490,1,494
2024-10-10,华南,深圳,电脑办公,线上,4590,1,849
2024-10-09,西南,成都,手机数码,线下,1870,6,347
2024-11-03,西南,贵阳,家用电器,线上,4880,7,1117
2024-11-25,西北,西安,手机数码,线上,5950,9,953
2024-11-09,东北,沈阳,手机数码,线下,4020,5,619
2024-11-22,西北,兰州,服饰鞋包,线上,1410,8,494
2024-11-11,西北,西安,电脑办公,线上,9840,2,2655
2024-11-22,东北,大连,手机数码,线上,7300,4,952
2024-11-10,东北,哈尔滨,美妆个护,线上,620,9,211
2024-11-20,华南,广州,电脑办公,线上,4670,2,762
2024-11-18,华东,杭州,电脑办公,线下,7660,8,1352
2024-11-16,华南,深圳,手机数码,线下,8660,8,1674
2024-11-23,西南,重庆,美妆个护,线下,1250,8,436
2024-11-15,华北,北京,手机数码,线上,3110,7,478
2024-11-12,西南,重庆,电脑办公,线下,10110,8,1642
2024-11-14,西南,昆明,服饰鞋包,线下,2400,2,827
2024-11-12,华东,南京,电脑办公,线下,8540,3,2331
2024-11-08,华中,长沙,手机数码,线下,7040,1,1343
2024-11-12,东北,大连,电脑办公,线下,4580,1,944
2024-11-27,华东,杭州,服饰鞋包,线上,1840,1,684
2024-11-27,华东,南京,手机数码,线下,6840,4,1212
2024-11-27,华南,深圳,电脑办公,线上,6940,6,1089
2024-11-26,华南,深圳,电脑办公,线上,9730,1,1645
2024-11-22,华中,南昌,电脑办公,线上,5030,9,1370
2024-11-04,华中,武汉,食品生鲜,线下,520,7,68
2024-11-07,华东,南京,电脑办公,线下,8930,1,1905
2024-11-03,东北,哈尔滨,食品生鲜,线上,480,3,57
2024-11-21,华南,深圳,服饰鞋包,线下,900,4,219
2024-11-05,西南,贵阳,食品生鲜,线下,610,2,80
2024-11-03,华南,厦门,手机数码,线上,8320,4,1400
2024-11-27,华东,苏州,手机数码,线上,8380,9,1491
2024-11-22,华南,海口,服饰鞋包,线上,1660,9,490
2024-11-23,华南,深圳,家用电器,线上,2630,7,550
2024-11-26,华南,广州,家用电器,线下,3590,5,813
2024-11-11,华中,南昌,美妆个护,线上,890,1,256
2024-11-08,华东,南京,服饰鞋包,线上,970,5,318
2024-11-09,华北,石家庄,电脑办公,线下,4730,6,1349
2024-11-22,西南,昆明,食品生鲜,线上,580,1,98
2024-11-25,西南,昆明,食品生鲜,线上,330,6,50
2024-11-04,华北,石家庄,电脑办公,线下,9270,7,2286
2024-11-13,华中,武汉,食品生鲜,线上,420,7,44
2024-11-10,西北,西安,家用电器,线下,7490,6,1265
2024-11-23,西北,西安,食品生鲜,线上,390,5,52
2024-11-05,西北,兰州,电脑办公,线上,6480,1,1045
2024-11-08,华南,厦门,食品生鲜,线下,450,2,63
2024-11-25,华北,北京,美妆个护,线上,720,6,221
2024-11-12,东北,沈阳,服饰鞋包,线下,2480,4,651
2024-11-02,华北,天津,服饰鞋包,线下,1390,5,455
2024-11-25,西北,乌鲁木齐,食品生鲜,线下,280,6,38
2024-11-12,西北,乌鲁木齐,美妆个护,线上,1080,2,335
2024-11-13,华东,杭州,手机数码,线下,6680,4,1162
2024-11-27,西北,兰州,服饰鞋包,线上,2080,4,767
2024-11-22,东北,哈尔滨,美妆个护,线上,610,8,261
2024-11-14,华北,太原,美妆个护,线下,570,3,212
2024-11-27,华东,南京,服饰鞋包,线上,1210,3,335
2024-11-09,华南,深圳,手机数码,线上,3300,6,460
2024-11-20,华东,苏州,美妆个护,线下,820,2,294
2024-11-14,东北,沈阳,美妆个护,线上,710,1,292
2024-11-05,华北,太原,食品生鲜,线下,500,9,78
2024-11-08,西南,昆明,手机数码,线上,5450,9,953
2024-11-08,华南,深圳,电脑办公,线下,10920,3,3087
2024-11-26,华东,上海,食品生鲜,线下,400,2,51
2024-11-13,西北,西安,电脑办公,线下,7810,4,1920
2024-11-08,东北,大连,电脑办公,线下,6520,9,1119
2024-11-01,华东,杭州,服饰鞋包,线上,1790,5,549
2024-11-21,华南,深圳,电脑办公,线下,10830,3,2707
2024-12-16,华中,武汉,食品生鲜,线上,360,4,47
2024-12-09,西北,西安,电脑办公,线下,7270,9,1406
2024-12-24,华中,长沙,电脑办公,线下,7760,6,1501
2024-12-10,华中,郑州,电脑办公,线上,3270,9,505
2024-12-23,华东,上海,家用电器,线下,4250,9,1053
2024-12-12,华北,石家庄,电脑办公,线上,5060,8,1230
2024-12-21,华北,北京,电脑办公,线上,6480,4,1681
2024-12-12,华北,天津,服饰鞋包,线下,800,1,230
2024-12-22,西南,重庆,美妆个护,线上,470,9,205
2024-12-10,西南,昆明,服饰鞋包,线上,790,6,293
2024-12-11,华中,南昌,电脑办公,线下,7510,4,1536
2024-12-10,西南,昆明,电脑办公,线下,7270,8,1187
2024-12-07,华北,太原,电脑办公,线上,2940,4,534
2024-12-12,华北,北京,食品生鲜,线下,360,5,44
2024-12-27,西南,重庆,服饰鞋包,线下,770,2,276
2024-12-27,西北,西安,电脑办公,线下,4350,1,1053
2024-12-18,华南,深圳,服饰鞋包,线上,780,4,289
2024-12-21,西北,兰州,手机数码,线上,4320,6,756
2024-12-13,华中,长沙,服饰鞋包,线下,820,7,246
2024-12-06,华东,杭州,家用电器,线下,2360,6,584
2024-12-25,华中,武汉,家用电器,线上,4010,1,623
2024-12-04,华中,武汉,服饰鞋包,线上,960,9,373
2024-12-24,华北,北京,食品生鲜,线下,310,5,35
2024-12-05,西北,乌鲁木齐,家用电器,线下,3450,5,894
2024-12-24,华南,广州,家用电器,线上,4930,4,1207
2024-12-20,华东,杭州,电脑办公,线上,6490,1,1638
2024-12-03,华中,武汉,手机数码,线下,5080,9,805
2024-12-16,华南,深圳,电脑办公,线下,3120,8,652
2024-12-17,西南,昆明,服饰鞋包,线上,1100,1,397
2024-12-11,华南,深圳,家用电器,线上,3180,7,603
2024-12-27,华北,石家庄,电脑办公,线上,7030,7,1386
2024-12-09,华南,厦门,家用电器,线上,3900,9,734
2024-12-13,华北,石家庄,服饰鞋包,线下,910,5,274
2024-12-17,西南,重庆,家用电器,线下,5470,4,853
2024-12-03,西北,兰州,手机数码,线上,3110,4,349
2024-12-12,东北,沈阳,美妆个护,线下,550,5,161
2024-12-10,华南,深圳,手机数码,线下,6790,5,1108
2024-12-13,华北,天津,美妆个护,线上,720,8,210
2024-12-15,东北,大连,家用电器,线下,3220,7,712
2024-12-06,西南,贵阳,家用电器,线上,2060,4,529
2024-12-17,华东,杭州,电脑办公,线下,3520,9,641
2024-12-14,东北,大连,食品生鲜,线上,260,1,27
2024-12-13,东北,大连,电脑办公,线下,4950,1,1048
2024-12-12,华北,太原,手机数码,线下,2720,3,507
2024-12-19,华南,厦门,手机数码,线上,4780,9,712
2024-12-08,东北,大连,美妆个护,线上,390,3,154
2024-12-07,华北,天津,手机数码,线上,5170,5,843
2024-12-10,东北,哈尔滨,家用电器,线上,2370,1,493
2024-12-08,华南,海口,食品生鲜,线下,460,6,75
